instagram_account,username,comment
https://www.instagram.com/bintu_musthafa/,bintu_musthafa,Sudah kuduga
https://www.instagram.com/fadhlan_chilan/,fadhlan_chilan,Presiden semu
https://www.instagram.com/noorrahmanm/,noorrahmanm,Anak papah
https://www.instagram.com/adhamsbuana/,adhamsbuana,"CNN posting foto begini doang, pasti banyak yang tantrum dan kejang-kejang 🤣🤣"
https://www.instagram.com/miqotaku_times/,miqotaku_times,Ditunggu line up Senbatsu kementeriannya
https://www.instagram.com/ojanomas/,ojanomas,Sini pak wapres saya kasih kopiah satu
https://www.instagram.com/hairul_rhmdn_/,hairul_rhmdn_,sory ke  taq😂
https://www.instagram.com/artrazzaq/,artrazzaq,
https://www.instagram.com/fransithalia/,fransithalia,Congrats Pak Prabowo & Mas Gibran ❤️❤️
https://www.instagram.com/fhanrianto/,fhanrianto,wes tuku rung dipajang ning pos salper ngarep.😂
https://www.instagram.com/farrelsuwandi/,farrelsuwandi,Akhirnya jadi juga gak jadi presidenan lagi😂 selamat
https://www.instagram.com/us.man8055/,us.man8055,Fhoto tersebut akan di pasang di gedung MK
https://www.instagram.com/siscaningsih7/,siscaningsih7,❤️❤️❤️ 😄😄😄🤝🙏🏻
https://www.instagram.com/kopianu/,kopianu,Alhamdulillah ❤️🇮🇩
https://www.instagram.com/kum_kumakyah/,kum_kumakyah,"Selamat menuneikan tugas yang berat ini di bundak bapak berdua, alloh selalu meridoi langkah bapak berdua dengan baik amin amin ya alloh"
https://www.instagram.com/yunitasail/,yunitasail,alhamdulillah
https://www.instagram.com/arvnsss/,arvnsss,kiwww
https://www.instagram.com/pace.amber_scooterist.papua/,pace.amber_scooterist.papua,"jangan ajak 01 dan 02 masuk kabinet,,apalagi si ANIS DAN GANJAR"
https://www.instagram.com/alfatih_shavic/,alfatih_shavic,Alhamdulillah👏👏👏👏👏👏👏
https://www.instagram.com/onyouras__ma/,onyouras__ma,Alhamdulillah😍
https://www.instagram.com/wahyudi.rendo/,wahyudi.rendo,Mantap slmt bertuga
https://www.instagram.com/khorhiomin/,khorhiomin,Alhamdulilah 🔥
https://www.instagram.com/marhtyn_rym/,marhtyn_rym,Merdeka 🇮🇩
https://www.instagram.com/mohamadfaqih27/,mohamadfaqih27,🌾
https://www.instagram.com/lazzyyy17/,lazzyyy17,👏
https://www.instagram.com/rajusakayu/,rajusakayu,tumben CNN
https://www.instagram.com/k4.widhi/,k4.widhi,🫰🫰🫰
https://www.instagram.com/eubacteriaaaa/,eubacteriaaaa,🔥✌
https://www.instagram.com/ndyerandy/,ndyerandy,👏🔥
https://www.instagram.com/josephbenarfa1/,josephbenarfa1,🔥🔥🔥🔥🔥
https://www.instagram.com/ayah_rumaysa/,ayah_rumaysa,Sederhana..kyak rumah makan. Siap santap2 bersama
https://www.instagram.com/irwandianwar/,irwandianwar,Dagelan
https://www.instagram.com/wingpie/,wingpie,👏😂
https://www.instagram.com/suryanin.g/,suryanin.g,Naur way
https://www.instagram.com/06365.png/,06365.png,@
https://www.instagram.com/vwborobudurtemple/,vwborobudurtemple,semoga programnya gk cuma omon2 belaka
https://www.instagram.com/yunitasail/,yunitasail,❤️
https://www.instagram.com/yunitasail/,yunitasail,❤️
https://www.instagram.com/una2997_/,una2997_,gibran lucu bgt😂
https://www.instagram.com/joicelennon/,joicelennon,Very Cool 👏👏❤️❤️
https://www.instagram.com/rahmanrakagya/,rahmanrakagya,Wakilnya kok ga pake peci?
https://www.instagram.com/hendriansyah.hendri.733/,hendriansyah.hendri.733,02
https://www.instagram.com/zainreevan/,zainreevan,SEMOGA ABAH ANIS MENNG SATU PUTARAN. HIDUP IMAM MAHDI
https://www.instagram.com/iqbal0703/,iqbal0703,Anak anak abah lagi persiapan pindah negara 🔥
https://www.instagram.com/your_crush123345556/,your_crush123345556,Editan nya kebangetan 😂
https://www.instagram.com/darmawan1800/,darmawan1800,"Yakin itu,,,,😂"
https://www.instagram.com/arrauf42/,arrauf42,Ditunggu program makan gratis pak
https://www.instagram.com/fitria.leon/,fitria.leon,Menyalaaaa 🔥 Oke gas Oke gasss 🥳
https://www.instagram.com/sg_o.o_wm/,sg_o.o_wm,✌🏻
