publishedAt,authorDisplayName,textDisplay,like_count,likeCount
2024-04-04T12:08:33Z,@Videografershot,"Sabar dan tabah pak prabowo , sampai saya sekarang berkhianat dari partai 03. Untuk memilih bapak , dengan ketulusan hati di injak 03, 01 juga tetap bapak tabah",0.0,
2024-03-28T17:43:43Z,@AzmiWibawa,"Selamat ya Pak Prabowo Subianto telah terpilih dan di pilih menjadi Presiden untuk memimpin bangsa ini
",5.0,
2024-03-25T07:04:32Z,@user-nr7jn2ob9r,RASA TIDAK PERCAYA AKU. KALO  BLIMBING SAYUR MENANG...BETULKAH INI,0.0,
2024-03-24T08:36:59Z,@gebyarnovita3233,"Mantap,, prabowo gibran menang Indonesia maju",0.0,
2024-03-23T12:40:07Z,@sammozaik1301,Jangan ikut undang2 jokowi prabowo biar aman negara,0.0,
2024-03-22T16:48:59Z,@AgusHamdani-rt8vy,semoga negara ini jauh lebih baik dari sebelumnya setelah bapak Prabowo resmi di lantik jadi presiden..,0.0,
2024-03-22T15:01:35Z,@AdhwaHanifah,@prabowo,0.0,
2024-03-22T15:00:36Z,@rosanovita2330,Bener2 satu putaran.. Rakyat kalo sudah berkehendak gak main2 😊,1.0,
2024-03-22T10:11:09Z,@rikmawan9622,Selamat ya pak saya senang melihat dan mendengarnya ,4.0,
2024-03-22T03:54:52Z,@farmchannel5646,Selamat pak.prabowo kami mendukungmu,0.0,
2024-03-21T15:52:29Z,@koosumadi7354,Alhamdulillah 02 menang 🎉🎉🎉 ✌️✌️,1.0,
2024-03-21T15:08:21Z,@septianade8210,"Tugas gibran hanyalah membubarkan para kadrun kadrun PDIP ,",0.0,
2024-03-21T04:13:22Z,@muhammadfakih-ju6xi,Alhamdulillah 02 menang,0.0,
2024-03-21T04:04:07Z,@Arjudani,"Selamat pak prabowo & Gibran raka buming raka, Menjadi presiden RI, periode 2024-2029,,,,,, SEMOGA AMANAH,,,, AMINNNN YRA,",3.0,
2024-03-21T03:37:33Z,@ristiatia3486,Selamat ya prabowo gibran,0.0,
2024-03-21T03:35:40Z,@khoiliibrahim4373,Dagelan pemilu yg memuakkan menghasilkan pemimpin yg cacat hukum dan gak sah !,4.0,
2024-03-21T03:27:17Z,@mashurputra3327,Kita tinggal tunggu makan siang gratis dan kenaikan gaji 2 juta selamat pak,1.0,
2024-03-21T03:20:12Z,@herywahyudi316,Selamat buat pak prabowo. Hati hati dengan wakil Bpk. Yaitu pak Gibran  akan. Menerkam bapak dari. Belakang untuk meneruskan. Cita cita Jokowi. Menjadikan negara indonesia menjadi negara dinasti,0.0,
2024-03-21T03:06:31Z,@user-kv8qr1ug6t,Selamat ya bpk prabowo subianto atas kemenangan bpk menjadi president RI 1 sehat sllu tuk membangun Indonesia emas ❤❤❤,8.0,
2024-03-21T02:53:58Z,@user-sm9ul5tl2c,BRAVO NKRI..PRABOWO GIBRAN PRESIDEN 2024 2029..,3.0,
2024-05-26T03:47:08Z,@Jembut-pj1xh,Haduh ancur dah Indonesia,1.0,
2024-04-25T02:43:18Z,@shelphobe380,"Gibran dilantik di penjara, prabowo di rumahkan diamankan sdh sepuh kasihan jadi wadal penguasa",0.0,
2024-04-25T02:42:27Z,@shelphobe380,Nanti di lantik setelah penguasa rezim tumbang di demo rakyat semesta,0.0,
2024-04-25T00:35:58Z,@realmeere6362,Alhamdulillah kami rakyat Indonesia selesai mengantarkan pak Prabowo ke kursi presiden kami rakyat Indonesia menantikan janji bapak utk menambah gaji guru 2juta rupiah per guru pak kami sangat mengharapkan itu.,0.0,
2024-04-23T12:17:10Z,@user-ru5eg1ed1m,Bila Mas Gibran menjadi presiden adalah presiden  termuda dari presiden di seluruh dunia.,0.0,
